name,action,group,reference_count,reference_files,decision,note
checkpoints,archive_candidate,alpha_checkpoint,232,CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md;CLAUDE.md;EXPERIMENTS.md;FROZEN_FORWARD_STRATEGY.md;LOSS_ABLATION_PLAN.md;PURGED_ALPHA_OPTIMIZATION_PLAN.md;README.md;RERANKER_IMPLEMENTATION_PLAN_20260614.md;RESEARCH_PROTOCOL.md;TEST_PLAN.md;configs/downside_topfocus_ablation_20260615.json;configs/lag1_loss_ablation_20260616.json;configs/loss_ablation_20260613.json;configs/low_lr_continuation_20260614.json;configs/m0_topfocus_validation_20260614.json;configs/reranker_oof_folds_20260614.json;core/config.py;core/train_utils.py;experiments/archive_plan.py;experiments/checkpoint_selection.py;experiments/source_inventory.py;reports/alpha_execution_filter_20260613.md;reports/checkpoint_selection_20260618/a0_top_first_selection.csv;reports/codebase_cleanup_20260618/cleanup_execution_plan.md;reports/codebase_cleanup_20260618/official_baselines.md;reports/codebase_cleanup_20260618/progress_log.md;reports/codebase_cleanup_20260618/remaining_cleanup_queue.md;reports/codebase_cleanup_20260618/run_script_index.md;reports/codebase_cleanup_20260618/training_research_index.md;reports/codebase_cleanup_20260618/training_validation_ledger.md;reports/codebase_cleanup_plan_20260618.md;reports/open_price_share_ledger_maxret095_report_20260616.md;reports/result_csv_bestrow_audit_20260616.csv;reports/strategy_archaeology_review_20260616.md;reports/temporal_cross_alpha_probe_capped_20260531_val_full_eval.json;reports/temporal_cross_alpha_probe_capped_20260531_val_full_eval.md;reports/temporal_cross_alpha_target_sampler_20260531_val_full_eval.json;reports/temporal_cross_alpha_target_sampler_20260531_val_full_eval.md;reports/unified_good_ops_validation_plan_20260616.md;resume_downside_topfocus_remaining_20260616.ps1;run/backtest_layered_holdings.py;run/backtest_switch_value_policy.py;run/backtest_temporal_retention.py;run/backtest_trade_policy.py;run/backtest_trade_policy_v2.py;run/backtest_v9_retention.py;run/build_reranker_dataset.py;run/build_reranker_v3_forward.py;run/build_switch_value_dataset.py;run/build_trade_policy_dataset.py;run/confirm_locked_candidate.py;run/forward_frozen_strategy.py;run/generate_v9_inference_alpha.py;run/rank_watchlist.py;run/recommend_daily.py;run/recommend_persistent.py;run/recommend_utils.py;run/train.py;run/train_temporal.py;run/v9_checkpoint_ensemble.py;run/validate_candidate_models.py;scripts/run_full_training.ps1;tests/test_archive_plan.py;tests/test_checkpoint_selection.py;tests/test_source_inventory.py;tests/test_training_presets.py;validate_m0_epoch_lag1_sweep_20260616.ps1,hold,high-risk model/checkpoint family; audit manually before moving
checkpoints_exp,archive_candidate,alpha_checkpoint,78,CLAUDE.md;EXPERIMENTS.md;FROZEN_FORWARD_STRATEGY.md;LOSS_ABLATION_PLAN.md;PURGED_ALPHA_OPTIMIZATION_PLAN.md;TEST_PLAN.md;core/config.py;core/train_utils.py;experiments/archive_plan.py;reports/codebase_cleanup_20260618/cleanup_execution_plan.md;reports/codebase_cleanup_20260618/official_baselines.md;reports/codebase_cleanup_20260618/progress_log.md;reports/codebase_cleanup_20260618/training_research_index.md;reports/codebase_cleanup_20260618/training_validation_ledger.md;reports/codebase_cleanup_plan_20260618.md;reports/open_price_share_ledger_maxret095_report_20260616.md;reports/result_csv_bestrow_audit_20260616.csv;reports/strategy_archaeology_review_20260616.md;reports/temporal_cross_alpha_probe_capped_20260531_val_full_eval.json;reports/temporal_cross_alpha_probe_capped_20260531_val_full_eval.md;reports/temporal_cross_alpha_target_sampler_20260531_val_full_eval.json;reports/temporal_cross_alpha_target_sampler_20260531_val_full_eval.md;run/backtest_layered_holdings.py;run/backtest_switch_value_policy.py;run/backtest_trade_policy.py;run/backtest_trade_policy_v2.py;run/backtest_v9_retention.py;run/build_switch_value_dataset.py;run/build_trade_policy_dataset.py;run/forward_frozen_strategy.py;run/generate_v9_inference_alpha.py;run/rank_watchlist.py;run/recommend_daily.py;run/recommend_persistent.py;run/recommend_utils.py;run/train.py;run/train_temporal.py;run/v9_checkpoint_ensemble.py;scripts/run_full_training.ps1;tests/test_archive_plan.py,hold,high-risk model/checkpoint family; audit manually before moving
checkpoints_exp_pairwise_w003_20260530_011759,archive_candidate,alpha_checkpoint,0,,hold,high-risk model/checkpoint family; audit manually before moving
checkpoints_exp_purged_rawmetric_A_20260613,archive_candidate,alpha_checkpoint,2,LOSS_ABLATION_PLAN.md;reports/codebase_cleanup_20260618/training_research_index.md,hold,high-risk model/checkpoint family; audit manually before moving
checkpoints_exp_top06_stable_20260612,archive_candidate,alpha_checkpoint,1,reports/result_csv_bestrow_audit_20260616.csv,hold,high-risk model/checkpoint family; audit manually before moving
checkpoints_exp_topfocus,archive_candidate,legacy_topfocus,45,FROZEN_FORWARD_STRATEGY.md;PURGED_ALPHA_OPTIMIZATION_PLAN.md;TEST_PLAN.md;experiments/archive_plan.py;reports/codebase_cleanup_20260618/cleanup_execution_plan.md;reports/codebase_cleanup_20260618/official_baselines.md;reports/codebase_cleanup_20260618/progress_log.md;reports/codebase_cleanup_20260618/training_validation_ledger.md;reports/open_price_share_ledger_maxret095_report_20260616.md;reports/result_csv_bestrow_audit_20260616.csv;reports/strategy_archaeology_review_20260616.md;run/backtest_switch_value_policy.py;run/backtest_trade_policy.py;run/backtest_trade_policy_v2.py;run/backtest_v9_retention.py;run/build_switch_value_dataset.py;run/build_trade_policy_dataset.py;run/forward_frozen_strategy.py;run/generate_v9_inference_alpha.py;run/v9_checkpoint_ensemble.py;tests/test_archive_plan.py,hold,referenced by text sources; inspect references before moving
checkpoints_exp_topfocus_w005_pairwise_w001_20260530_053300,archive_candidate,legacy_topfocus,2,reports/result_csv_bestrow_audit_20260616.csv;run/v9_checkpoint_ensemble.py,hold,referenced by text sources; inspect references before moving
checkpoints_exp_topfocus_w005_topic,protect,legacy_topfocus,40,FROZEN_FORWARD_STRATEGY.md;PURGED_ALPHA_OPTIMIZATION_PLAN.md;TEST_PLAN.md;experiments/archive_plan.py;reports/codebase_cleanup_20260618/cleanup_execution_plan.md;reports/codebase_cleanup_20260618/official_baselines.md;reports/codebase_cleanup_20260618/progress_log.md;reports/open_price_share_ledger_maxret095_report_20260616.md;reports/result_csv_bestrow_audit_20260616.csv;reports/strategy_archaeology_review_20260616.md;run/backtest_switch_value_policy.py;run/backtest_trade_policy.py;run/backtest_trade_policy_v2.py;run/backtest_v9_retention.py;run/build_switch_value_dataset.py;run/build_trade_policy_dataset.py;run/forward_frozen_strategy.py;run/generate_v9_inference_alpha.py;run/v9_checkpoint_ensemble.py;tests/test_archive_plan.py,keep,protected by archive plan
checkpoints_exp_topfocus_w005_topret,archive_candidate,legacy_topfocus,2,reports/result_csv_bestrow_audit_20260616.csv;run/v9_checkpoint_ensemble.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A0,archive_candidate,loss_ablation_a_series,17,CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md;LOSS_ABLATION_PLAN.md;configs/loss_ablation_20260613.json;configs/low_lr_continuation_20260614.json;reports/checkpoint_selection_20260618/a0_top_first_selection.csv;reports/codebase_cleanup_20260618/progress_log.md;reports/codebase_cleanup_20260618/training_validation_ledger.md;run/validate_candidate_models.py;tests/test_source_inventory.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A0_low_lr_e10,archive_candidate,loss_ablation_a_series,3,CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md;configs/low_lr_continuation_20260614.json;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A1,archive_candidate,loss_ablation_a_series,3,LOSS_ABLATION_PLAN.md;configs/loss_ablation_20260613.json;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A2,archive_candidate,loss_ablation_a_series,3,LOSS_ABLATION_PLAN.md;configs/loss_ablation_20260613.json;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A3,archive_candidate,loss_ablation_a_series,3,LOSS_ABLATION_PLAN.md;configs/loss_ablation_20260613.json;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A4,archive_candidate,loss_ablation_a_series,7,CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md;LOSS_ABLATION_PLAN.md;configs/loss_ablation_20260613.json;configs/low_lr_continuation_20260614.json;run/confirm_locked_candidate.py;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A4_low_lr_e10,archive_candidate,loss_ablation_a_series,1,configs/low_lr_continuation_20260614.json,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_A5,archive_candidate,loss_ablation_a_series,3,CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md;configs/loss_ablation_20260613.json;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_D001,archive_candidate,downside_lag_topfocus_series,3,configs/downside_topfocus_ablation_20260615.json;reports/codebase_cleanup_20260618/training_validation_ledger.md;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_D003,archive_candidate,downside_lag_topfocus_series,6,configs/downside_topfocus_ablation_20260615.json;reports/result_csv_bestrow_audit_20260616.csv;resume_downside_topfocus_remaining_20260616.ps1;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_D003_T001,archive_candidate,downside_lag_topfocus_series,4,configs/downside_topfocus_ablation_20260615.json;reports/result_csv_bestrow_audit_20260616.csv;resume_downside_topfocus_remaining_20260616.ps1;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_D005,archive_candidate,downside_lag_topfocus_series,2,configs/downside_topfocus_ablation_20260615.json;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_LAG005,archive_candidate,downside_lag_topfocus_series,1,configs/lag1_loss_ablation_20260616.json,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_LAG010,archive_candidate,downside_lag_topfocus_series,1,configs/lag1_loss_ablation_20260616.json,hold,referenced by text sources; inspect references before moving
checkpoints_loss_ablation_M0_nomulti,protect,protected_m_baseline,8,experiments/archive_plan.py;reports/codebase_cleanup_20260618/progress_log.md;reports/codebase_cleanup_20260618/training_validation_ledger.md;reports/codebase_cleanup_plan_20260618.md;run/build_reranker_dataset.py;run/build_reranker_v3_forward.py;run/validate_candidate_models.py;validate_m0_epoch_lag1_sweep_20260616.ps1,keep,protected by archive plan
checkpoints_loss_ablation_M1_nomulti_topfocus_w005,protect,protected_m_baseline,7,configs/m0_topfocus_validation_20260614.json;experiments/archive_plan.py;reports/codebase_cleanup_20260618/progress_log.md;reports/codebase_cleanup_20260618/training_validation_ledger.md;reports/result_csv_bestrow_audit_20260616.csv;run/validate_candidate_models.py;tests/test_training_presets.py,keep,protected by archive plan
checkpoints_loss_ablation_T001,archive_candidate,downside_lag_topfocus_series,3,configs/downside_topfocus_ablation_20260615.json;resume_downside_topfocus_remaining_20260616.ps1;run/validate_candidate_models.py,hold,referenced by text sources; inspect references before moving
checkpoints_reranker_oof_F1_train2017_val2018,archive_candidate,reranker_oof,1,configs/reranker_oof_folds_20260614.json,hold,referenced by text sources; inspect references before moving
checkpoints_reranker_oof_F2_train2018_val2019,archive_candidate,reranker_oof,1,configs/reranker_oof_folds_20260614.json,hold,referenced by text sources; inspect references before moving
checkpoints_reranker_oof_F3_train2019_val2020,archive_candidate,reranker_oof,1,configs/reranker_oof_folds_20260614.json,hold,referenced by text sources; inspect references before moving
checkpoints_reranker_oof_F4_train2020_val2021,archive_candidate,reranker_oof,1,configs/reranker_oof_folds_20260614.json,hold,referenced by text sources; inspect references before moving
checkpoints_reranker_oof_F5_train2021_val2022,archive_candidate,reranker_oof,1,configs/reranker_oof_folds_20260614.json,hold,referenced by text sources; inspect references before moving
checkpoints_reranker_oof_F6_train2022_val2023,archive_candidate,reranker_oof,1,configs/reranker_oof_folds_20260614.json,hold,referenced by text sources; inspect references before moving
models_multi_v9_tech_macro,archive_candidate,legacy_v9_model,1,run/hyper_search.py,hold,high-risk model/checkpoint family; audit manually before moving
