path,type,status,decision,reason,next_action
reranker_data_20260614,dir,active_evidence,keep_for_now,"M0/reranker candidate data used by V3 historical confirmation and reranker index","Map exact subdirectories before any archive move"
reranker_oof_20260614,dir,active_evidence,keep_for_now,"OOF predictions are the leakage-control base for reranker training and validation","Keep until OOF provenance is copied into a durable artifact manifest"
reranker_training_20260615,dir,failed_or_superseded_evidence,keep_for_now,"Early reranker training output and diagnostics; superseded by V2/V3/V4 but useful for audit trail","Archive only after summary outputs are indexed"
reranker_v2_data_20260615,dir,failed_experiment_evidence,keep_for_now,"V2 continuous executable-target reranker was rejected but remains evidence for why M0 was retained","Archive only after V2 failure artifacts are summarized"
reranker_v3_data_20260615,dir,frozen_shadow_artifact,keep_for_now,"Frozen V3 state-aware marginal-fill data; V3 remains a shadow reference","Keep while V3 shadow comparison remains relevant"
reranker_models_20260615,dir,mixed_model_artifacts,keep_for_now,"Contains V1, V2, V3, V4 and V4.1 model artifacts with different statuses","Split or tag subdirectories before moving anything"
reranker_models_20260615/lambdarank_v1,dir,failed_experiment_evidence,keep_for_now,"V1/LambdaRank path was not promoted","Archive after failure summary and dependency check"
reranker_models_20260615/regression_v2,dir,failed_experiment_evidence,keep_for_now,"V2 was rejected after mixed 2024 execution result","Archive after failure summary and dependency check"
reranker_models_20260615/regression_v3,dir,frozen_shadow_artifact,keep_for_now,"V3 is frozen shadow evidence and should remain reproducible","Keep"
reranker_models_20260615/gated_v4,dir,frozen_shadow_artifact,keep_for_now,"V4 is preferred safe shadow candidate because it can abstain to exact M0","Keep"
reranker_models_20260615/meta_gate_v41,dir,failed_experiment_evidence,keep_for_now,"V4.1 failed frozen forward and must not be promoted or retuned","Archive only after failed-experiment ledger is complete"
reranker_validation_20260615,dir,mixed_validation_artifacts,keep_for_now,"Contains V1/V2/V3/V4/V4.1 validation CSVs and diagnostics","Split or tag subdirectories before moving anything"
reranker_validation_20260615/conservative_v1,dir,failed_experiment_evidence,keep_for_now,"Conservative V1/max replacement probe was not promoted","Archive after summary is indexed"
reranker_validation_20260615/regression_v2,dir,failed_experiment_evidence,keep_for_now,"V2 validation evidence for rejection","Archive after summary is indexed"
reranker_validation_20260615/regression_v3,dir,frozen_shadow_artifact,keep_for_now,"V3 strict 2024 validation evidence","Keep"
reranker_validation_20260615/gated_v4,dir,frozen_shadow_artifact,keep_for_now,"V4 validation evidence and gate behavior","Keep"
reranker_validation_20260615/meta_gate_v41,dir,failed_experiment_evidence,keep_for_now,"V4.1 validation evidence needed to explain forward failure","Archive only after failed-experiment ledger is complete"
reranker_confirmation_20260615,dir,mixed_confirmation_artifacts,keep_for_now,"Contains post-2024 confirmation outputs for V3/V4/V4.1","Split or tag subdirectories before moving anything"
reranker_confirmation_20260615/regression_v3,dir,frozen_shadow_artifact,keep_for_now,"V3 post-2024 confirmation: better Sharpe/drawdown but mixed raw return","Keep"
reranker_confirmation_20260615/gated_v4,dir,frozen_shadow_artifact,keep_for_now,"V4 post-2024 confirmation: slight improvement and safe abstention behavior","Keep"
reranker_confirmation_20260615/meta_gate_v41,dir,failed_experiment_evidence,keep_for_now,"V4.1 historical confirmation looked strong but contradicted forward evidence","Keep until failure narrative is complete"
forward_results/m0_v3_20260615,dir,forward_shadow_evidence,keep_for_now,"Frozen true forward result through 2026-06-11 blocks V3 live promotion","Keep as forward evidence"
forward_results/m0_v41_20260615,dir,failed_forward_evidence,keep_for_now,"Frozen true forward result shows V4.1 underperformed M0 by -1.45 pp and -2.75 pp","Keep as failed forward evidence"
