scope,path_pattern,type,status,decision,reason,next_action
protected,forward_results,dir,protected_forward_state,keep,"Forward observation root contains live/shadow evidence and is protected by archive_plan","Do not move as a whole; classify child directories separately"
protected,v9_avgw3_open_ledger_20260617,dir,protected_official_baseline,keep,"Current official open-price share-ledger baseline and candidate comparison root","Keep as official baseline evidence"
protected,v9_avgw3_extend_to_20260518_20260616,dir,protected_cutoff_extension,keep,"Frozen V9 extension to the 2026-05-18 research cutoff","Keep as baseline/cutoff evidence"
candidate_validation,candidate_model_validation_20260614,dir,active_training_evidence,keep_for_now,"Strict A0/A4/A5/frozen-V9 candidate validation; source for A4-E6 decision and V9 caveat","Keep until candidate checkpoint ledger exists"
candidate_validation,locked_candidate_confirmation_20260614,dir,active_training_evidence,keep_for_now,"Locked candidate confirmation evidence from the candidate validation round","Keep until candidate checkpoint ledger exists"
loss_validation,loss_ablation_portfolio_validation_20260614,dir,active_training_evidence,keep_for_now,"Portfolio validation for A0-A5 loss ablation candidates","Keep until loss-ablation result ledger exists"
loss_validation,multi_loss_validation_20260614,dir,active_training_evidence,keep_for_now,"Multi-loss validation outputs and portfolio summary","Keep until loss-ablation result ledger exists"
loss_validation,m0_topfocus_validation_20260614,dir,active_training_evidence,keep_for_now,"M0 plus Top-focus validation evidence","Keep until loss-ablation result ledger exists"
loss_validation,downside_topfocus_validation_20260616,dir,failed_or_unpromoted_evidence,keep_for_now,"Downside/Top-focus validation did not establish a production improvement","Archive only after failure summary is indexed"
loss_validation,lag1_checkpoint_sweep_m0_20260616,dir,active_training_evidence,keep_for_now,"M0 checkpoint/lag1 sweep includes frozen-V9 and M0 epoch evidence referenced by unified plan","Keep until checkpoint selection ledger exists"
loss_validation,resume_downside_topfocus_remaining_20260616.ps1,file,run_script_evidence,keep_for_now,"Script used to resume downside/top-focus validation","Archive with matching validation outputs later"
loss_validation,validate_downside_topfocus_candidates_20260616.ps1,file,run_script_evidence,keep_for_now,"Script used to validate downside/top-focus candidates","Archive with matching validation outputs later"
loss_validation,run_lag1_loss_ablation_after_sweep_20260616.ps1,file,run_script_evidence,keep_for_now,"Script used after lag1 sweep","Archive with matching validation outputs later"
unified_validation,unified_good_ops_validation_20260616,dir,active_strategy_evidence,keep_for_now,"Unified good-operations validation comparing open-to-open/share-ledger variants","Keep until official-baseline ledger is complete"
unified_validation,run_unified_good_ops_validation_20260616.ps1,file,run_script_evidence,keep_for_now,"Script for unified good-ops validation","Archive with matching validation output later"
official_candidate,v9_avgw3_filter095_validation_20260616,dir,active_strategy_evidence,keep_for_now,"9.5% filter validation evidence for V9 avgw3","Keep while filter remains official execution transform"
official_candidate,v9_avgw3_open_ledger_20260616,dir,superseded_strategy_evidence,archive_after_summary,"Earlier open-ledger sweep superseded by protected v9_avgw3_open_ledger_20260617","Archive only after ensuring all best rows are summarized"
open_reranker,open_reranker_current_v9_20260617,dir,attack_candidate_evidence,keep_for_now,"Open-reranker current V9 model and alpha outputs","Keep until open-reranker candidate ledger is complete"
open_reranker,open_reranker_current_v9_edge_20260617,dir,attack_candidate_evidence,keep_for_now,"Edge candidate alpha outputs for current V9","Keep until open-reranker candidate ledger is complete"
open_reranker,open_reranker_current_v9_light_20260617,dir,attack_candidate_evidence,keep_for_now,"Light open-reranker candidate alpha outputs","Keep until open-reranker candidate ledger is complete"
open_reranker,open_reranker_current_v9_negfilter_20260617,dir,first_attack_candidate_evidence,keep_for_now,"negfilter_r030_100_drop3 is first attack candidate but not official baseline","Keep for forward/live observation evidence"
open_reranker,open_reranker_current_v9_market_switch_20260617,dir,attack_candidate_evidence,keep_for_now,"Market-switch open-reranker candidate outputs","Keep until candidate ledger is complete"
open_reranker,open_reranker_current_v9_forward_20260617,dir,forward_candidate_evidence,keep_for_now,"Forward open-reranker outputs; may be needed for observation comparison","Keep until forward observation ledger exists"
market_overlay,diagnostics_negfilter_drop3_20260617,dir,attack_candidate_diagnostics,keep_for_now,"Diagnostics explaining negfilter_drop3 source of improvement and stability","Keep as first-attack candidate evidence"
market_overlay,conditional_negfilter_breadth_20260618,dir,conditional_overlay_evidence,keep_for_now,"Conditional breadth negfilter overlay candidate, not promoted","Keep until forward observation plan is resolved"
market_overlay,state_triggered_target_20260617,dir,unpromoted_overlay_evidence,keep_for_now,"State-triggered target experiment had implementation caveat and is not official","Archive after caveat is indexed"
market_overlay,breadth_triggered_target_20260617,dir,unpromoted_overlay_evidence,keep_for_now,"Breadth-triggered target experiment; research candidate only","Archive after summary is indexed"
market_overlay,breadth_triggered_market_20260617,dir,unpromoted_overlay_evidence,keep_for_now,"Breadth-triggered market experiment; research candidate only","Archive after summary is indexed"
reports,reports/open_ledger_candidate_summary_20260617,dir,active_strategy_report,keep,"Candidate leaderboard/summary for open-ledger comparison","Keep in reports"
reports,reports/forward_observation_20260617,dir,active_forward_report,keep,"Forward observation report directory","Keep in reports"
reports,reports/candidate_leaderboard_20260617,dir,active_strategy_report,keep,"Generated registry-backed candidate leaderboard","Keep in reports"
legacy_backtests,backtest_results_exp_*,dir,legacy_backtest_output_group,archive_candidate_after_sampling,"Large legacy exp backtest result directories already summarized by reports and snapshots","Sample representative summaries before batch archive"
