name,title,role,cleanup_decision,consolidation_target,notes,headings,length,last_write
CLAUDE.md,CLAUDE.md,agent_guide,keep,CLAUDE.md,"Operational notes, architecture overview, and experiment-branch history.",PowerShell 编码注意事项; Environment and commands; Architecture overview; Training; Backtest; Recommendation system; Data and cache rules; Current feature structure,30532,2026-06-12 01:52:30
README.md,README.md,entrypoint,keep,README.md,General project overview and quick-start commands.,项目结构; 快速开始; 每日推荐; 回测; 环境; 测试; 关键不变量,5333,2026-06-12 01:45:28
EXPERIMENTS.md,EXPERIMENTS.md,legacy_experiment_log,archive_after_consolidation,reports/codebase_cleanup_20260618/training_research_index.md,Short early experiment-branch log; keep until key points are merged.,Isolation; Quick start; Experiment log; Priority experiments,1491,2026-06-12 01:45:36
RERANKER_IMPLEMENTATION_PLAN_20260614.md,M0 Candidate Reranker Implementation Plan,reranker_research,keep_or_consolidate,reports/codebase_cleanup_20260618/reranker_research_index.md,"M0, V2, V3, V4, V4.1 reranker history and decisions.",Objective; Training Metrics versus Model Selection; Formal Model-Selection Priority; Non-negotiable Data Protocol; Responsibilities; Label Definition; Candidate Pool; Initial Features,28220,2026-06-15 16:34:41
RERANKER_V4_PLAN_20260615.md,Reranker V4: Confidence-Gated Marginal Fill Plan,reranker_research,keep_or_consolidate,reports/codebase_cleanup_20260618/reranker_research_index.md,Confidence-gated V4 and V4.1 result summary.,Objective; Architecture; Leakage Controls; Gate Calibration; Comparative Results; Decision; Next Research Step; V4.1 Date-Level Meta Gate Result,6735,2026-06-15 16:34:41
RESEARCH_PROTOCOL.md,Research and Forward-Test Protocol,research_control,keep,RESEARCH_PROTOCOL.md,"Research cutoff, data boundary, and model-selection protocol.",Frozen boundary; Data directories; Account size; Model-selection rule,1788,2026-06-12 12:13:47
FROZEN_FORWARD_STRATEGY.md,Frozen Forward Strategy,strategy_manifest,keep,reports/codebase_cleanup_20260618/official_baselines.md,Frozen live/shadow strategy decision made before forward observation.,Primary; Fallback; Frozen Evidence; Forward Rules,2420,2026-06-12 02:41:53
TEST_PLAN.md,V9 Small-Account Test Plan,strategy_plan,keep_or_consolidate,reports/codebase_cleanup_20260618/official_baselines.md,V9 small-account test plan and locked research result.,Fixed constraints; Execution table; Candidate order; Memory rules; Decision gates; Initial findings; Locked research result,5602,2026-06-12 12:13:24
SHARPE_OPTIMIZATION_REPORT.md,Small-Account Sharpe Optimization,strategy_report,keep_or_consolidate,reports/codebase_cleanup_20260618/official_baselines.md,Small-account Sharpe optimization results and decision evidence.,Experiments; Results; Shadow Result; Decision; Evidence,6917,2026-06-12 22:43:33
LOSS_ABLATION_PLAN.md,V9 Loss Ablation and Trading-Objective Plan,training_plan,keep_or_consolidate,reports/codebase_cleanup_20260618/training_research_index.md,Loss ablation protocol and promotion gates.,Objective; Fixed Research Boundary; Fixed Hardware Configuration; Metrics Recorded Per Epoch; Phase 1: Baseline A; Phase 2: Minimal Loss Ablation; Phase 3: Component Decision Rules; Phase 4: Trading Objectives,6280,2026-06-13 18:11:35
PURGED_ALPHA_OPTIMIZATION_PLAN.md,Purged Alpha Optimization Plan,training_plan,keep_or_consolidate,reports/codebase_cleanup_20260618/training_research_index.md,Purged alpha optimization sequence and historical confirmation caveat.,Objective; Fixed Boundaries; Baselines; Experiment Sequence; Pre-Registered Alpha Candidates; Promotion Gate; Completed Screen; Resource Policy,5632,2026-06-13 16:44:59
CANDIDATE_MODEL_VALIDATION_PLAN_20260614.md,Candidate Model Validation Plan,validation_plan,keep_or_consolidate,reports/codebase_cleanup_20260618/training_research_index.md,Purged V9 checkpoint validation plan and final decision.,Objective; Research Boundary; Candidate Checkpoints; Fixed Alpha Construction; Fixed Portfolio Configuration; Execution Scenarios; Metrics; Promotion Gate,5523,2026-06-14 14:23:43
