report_id,candidate_id,path,split,stress,capital,execution_mode,signal_start,signal_end,backtest_start,backtest_end,selection_eligible,is_forward,source_script,notes,evidence_class,experiment_manifest,canonical_evidence,superseded_by
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:capacity_3pct:1000000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/capacity_3pct/open_ledger_summary.csv,forward_2026,capacity_3pct,1000000,realistic,2026-01-05,2026-06-30,2026-01-06,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:capacity_3pct:500000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/capacity_3pct/open_ledger_summary.csv,forward_2026,capacity_3pct,500000,realistic,2026-01-05,2026-06-30,2026-01-06,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:cost2x:1000000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/cost2x/open_ledger_summary.csv,forward_2026,cost2x,1000000,realistic,2026-01-05,2026-06-30,2026-01-06,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:cost2x:500000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/cost2x/open_ledger_summary.csv,forward_2026,cost2x,500000,realistic,2026-01-05,2026-06-30,2026-01-06,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:lag1:1000000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/lag1/open_ledger_summary.csv,forward_2026,lag1,1000000,realistic,2026-01-05,2026-06-30,2026-01-07,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:lag1:500000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/lag1/open_ledger_summary.csv,forward_2026,lag1,500000,realistic,2026-01-05,2026-06-30,2026-01-07,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:normal:1000000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/normal/open_ledger_summary.csv,forward_2026,normal,1000000,realistic,2026-01-05,2026-06-30,2026-01-06,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:forward_2026:normal:500000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/forward_2026/normal/open_ledger_summary.csv,forward_2026,normal,500000,realistic,2026-01-05,2026-06-30,2026-01-06,2026-06-29,False,True,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:test_2025:capacity_3pct:1000000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/test_2025/capacity_3pct/open_ledger_summary.csv,test_2025,capacity_3pct,1000000,realistic,2025-01-02,2025-12-31,2025-01-03,2025-12-31,True,False,run/backtest_retention_open_ledger.py,,legacy_registered,,,
cond_pairrisk_v2_svol0_betag001_gate0:test_2025:capacity_3pct:500000,cond_pairrisk_v2_svol0_betag001_gate0,reports/sa_20260710_backtest/v2_svol0_betag001_gate0/test_2025/capacity_3pct/open_ledger_summary.csv,test_2025,capacity_3pct,500000,realistic,2025-01-02,2025-12-31,2025-01-03,2025-12-31,True,False,run/backtest_retention_open_ledger.py,,legacy_registered,,,
